date,gdp_pct_change,quarter
1993-10-01,7.9,1993Q4
1994-01-01,5.9,1994Q1
1994-04-01,7.6,1994Q2
1994-07-01,4.7,1994Q3
1994-10-01,7.0,1994Q4
1995-01-01,3.6,1995Q1
1995-04-01,3.2,1995Q2
1995-07-01,5.5,1995Q3
1995-10-01,4.7,1995Q4
1996-01-01,5.0,1996Q1
1996-04-01,8.6,1996Q2
1996-07-01,5.0,1996Q3
1996-10-01,6.5,1996Q4
1997-01-01,5.1,1997Q1
1997-04-01,7.7,1997Q2
1997-07-01,6.9,1997Q3
1997-10-01,4.8,1997Q4
1998-01-01,4.7,1998Q1
1998-04-01,4.7,1998Q2
1998-07-01,6.9,1998Q3
1998-10-01,7.8,1998Q4
1999-01-01,5.4,1999Q1
1999-04-01,4.6,1999Q2
1999-07-01,6.8,1999Q3
1999-10-01,9.3,1999Q4
2000-01-01,4.2,2000Q1
2000-04-01,10.2,2000Q2
2000-07-01,2.8,2000Q3
2000-10-01,4.7,2000Q4
2001-01-01,1.3,2001Q1
2001-04-01,4.9,2001Q2
2001-07-01,-0.1,2001Q3
2001-10-01,2.4,2001Q4
2002-01-01,4.9,2002Q1
2002-04-01,3.9,2002Q2
2002-07-01,3.7,2002Q3
2002-10-01,2.9,2002Q4
2003-01-01,4.1,2003Q1
2003-04-01,4.7,2003Q2
2003-07-01,9.3,2003Q3
2003-10-01,7.2,2003Q4
2004-01-01,5.2,2004Q1
2004-04-01,6.5,2004Q2
2004-07-01,6.6,2004Q3
2004-10-01,7.3,2004Q4
2005-01-01,7.9,2005Q1
2005-04-01,4.7,2005Q2
2005-07-01,7.4,2005Q3
2005-10-01,5.9,2005Q4
2006-01-01,8.4,2006Q1
2006-04-01,4.4,2006Q2
2006-07-01,3.5,2006Q3
2006-10-01,5.0,2006Q4
2007-01-01,5.0,2007Q1
2007-04-01,5.0,2007Q2
2007-07-01,4.3,2007Q3
2007-10-01,4.1,2007Q4
2008-01-01,-0.8,2008Q1
2008-04-01,4.3,2008Q2
2008-07-01,0.8,2008Q3
2008-10-01,-7.2,2008Q4
2009-01-01,-4.5,2009Q1
2009-04-01,-1.2,2009Q2
2009-07-01,1.9,2009Q3
2009-10-01,5.9,2009Q4
2010-01-01,2.6,2010Q1
2010-04-01,5.7,2010Q2
2010-07-01,4.2,2010Q3
2010-10-01,4.3,2010Q4
2011-01-01,1.2,2011Q1
2011-04-01,5.6,2011Q2
2011-07-01,2.5,2011Q3
2011-10-01,5.4,2011Q4
2012-01-01,5.8,2012Q1
2012-04-01,3.3,2012Q2
2012-07-01,2.6,2012Q3
2012-10-01,2.5,2012Q4
2013-01-01,5.3,2013Q1
2013-04-01,1.7,2013Q2
2013-07-01,5.2,2013Q3
2013-10-01,5.7,2013Q4
2014-01-01,0.5,2014Q1
2014-04-01,7.9,2014Q2
2014-07-01,6.8,2014Q3
2014-10-01,2.9,2014Q4
2015-01-01,3.0,2015Q1
2015-04-01,5.3,2015Q2
2015-07-01,2.8,2015Q3
2015-10-01,0.1,2015Q4
2016-01-01,1.6,2016Q1
2016-04-01,4.7,2016Q2
2016-07-01,3.7,2016Q3
2016-10-01,4.0,2016Q4
2017-01-01,4.2,2017Q1
2017-04-01,3.5,2017Q2
2017-07-01,5.4,2017Q3
2017-10-01,6.4,2017Q4
2018-01-01,5.0,2018Q1
2018-04-01,7.1,2018Q2
2018-07-01,4.8,2018Q3
2018-10-01,2.9,2018Q4
2019-01-01,3.9,2019Q1
2019-04-01,4.7,2019Q2
