date,output_gap,quarter
1949-01-01,-0.06350562437704685,1949Q1
1949-04-01,-1.6553404883535643,1949Q2
1949-07-01,-1.8952336881073577,1949Q3
1949-10-01,-3.954175804093567,1949Q4
1950-01-01,-1.4536105723693111,1950Q1
1950-04-01,0.24072837362539515,1950Q2
1950-07-01,2.751175359198559,1950Q3
1950-10-01,3.3338102670829,1950Q4
1951-01-01,3.312804721580703,1951Q1
1951-04-01,3.618375005270481,1951Q2
1951-07-01,4.250633858431356,1951Q3
1951-10-01,3.0074171208457976,1951Q4
1952-01-01,2.656780345886536,1952Q1
1952-04-01,1.4593926835100024,1952Q2
1952-07-01,0.8375997797963117,1952Q3
1952-10-01,2.8510795278036656,1952Q4
1953-01-01,3.588350483796652,1953Q1
1953-04-01,3.361175531308216,1953Q2
1953-07-01,1.8617558402411452,1953Q3
1953-10-01,-0.490282553445956,1953Q4
1954-01-01,-1.671552619860472,1954Q1
1954-04-01,-2.203104261908273,1954Q2
1954-07-01,-1.6966176847814138,1954Q3
1954-10-01,-0.36098360655737693,1954Q4
1955-01-01,1.8578514790542744,1955Q1
1955-04-01,2.8894087163061863,1955Q2
1955-07-01,3.648519101445128,1955Q3
1955-10-01,3.629457143872872,1955Q4
1956-01-01,2.577842936376161,1956Q1
1956-04-01,2.7719661600028083,1956Q2
1956-07-01,2.0064516129032257,1956Q3
1956-10-01,2.9743705191701593,1956Q4
1957-01-01,2.8784253051401065,1957Q1
1957-04-01,1.8302523874488403,1957Q2
1957-07-01,1.9690533364900056,1957Q3
1957-10-01,0.0344318905689476,1957Q4
1958-01-01,-3.449254177602073,1958Q1
1958-04-01,-3.7102465356637366,1958Q2
1958-07-01,-2.4010173802458668,1958Q3
1958-10-01,-1.056754312294076,1958Q4
1959-01-01,-0.08206112978076492,1959Q1
1959-04-01,1.2297057331303909,1959Q2
1959-07-01,0.3566424779317061,1959Q3
1959-10-01,-0.3031274311498367,1959Q4
1960-01-01,0.9571609085585726,1960Q1
1960-04-01,-0.5649758896417018,1960Q2
1960-07-01,-1.056844968268359,1960Q3
1960-10-01,-3.291172950329144,1960Q4
1961-01-01,-3.596053567196018,1961Q1
1961-04-01,-2.9145933575871377,1961Q2
1961-07-01,-2.0196682257923944,1961Q3
1961-10-01,-1.083851110344034,1961Q4
1962-01-01,-0.32028023808845724,1962Q1
1962-04-01,-0.443056886733946,1962Q2
1962-07-01,-0.2630771376761054,1962Q3
1962-10-01,-0.9792949231151478,1962Q4
1963-01-01,-0.964657362139131,1963Q1
1963-04-01,-0.9222600518806744,1963Q2
1963-07-01,0.17584943994439547,1963Q3
1963-10-01,-0.24477004046441514,1963Q4
1964-01-01,0.7841628722457737,1964Q1
1964-04-01,0.8103573278094252,1964Q2
1964-07-01,1.3071917194025262,1964Q3
1964-10-01,0.548457423885213,1964Q4
1965-01-01,1.88124796228024,1965Q1
1965-04-01,2.0700957768845214,1965Q2
1965-07-01,3.220157588551511,1965Q3
1965-10-01,4.45231389307046,1965Q4
1966-01-01,5.820738179285834,1966Q1
1966-04-01,4.9847333681561325,1966Q2
1966-07-01,4.668567941224797,1966Q3
1966-10-01,4.315211842776927,1966Q4
1967-01-01,4.0201591633603195,1967Q1
1967-04-01,2.8828890097932534,1967Q2
1967-07-01,2.6623865546218486,1967Q3
1967-10-01,2.2518497186655444,1967Q4
1968-01-01,3.1626292272647625,1968Q1
1968-04-01,3.682674403498896,1968Q2
1968-07-01,3.3029861928716686,1968Q3
1968-10-01,2.556710414902625,1968Q4
1969-01-01,3.0320574563423928,1969Q1
1969-04-01,2.2808828100714953,1969Q2
1969-07-01,1.940331582403152,1969Q3
1969-10-01,0.4946540369135702,1969Q4
1970-01-01,-0.5140162431228714,1970Q1
1970-04-01,-1.167532986805278,1970Q2
1970-07-01,-1.016605824934529,1970Q3
1970-10-01,-2.7985938792390406,1970Q4
1971-01-01,-0.8866688823287912,1971Q1
1971-04-01,-1.0659925079093961,1971Q2
1971-07-01,-0.9592013721598026,1971Q3
1971-10-01,-1.4304439341752777,1971Q4
1972-01-01,-0.34433236450675325,1972Q1
1972-04-01,1.1852627211346234,1972Q2
1972-07-01,1.3969407050982008,1972Q3
1972-10-01,2.328445856795079,1972Q4
1973-01-01,4.054529025595633,1973Q1
1973-04-01,4.338802612083631,1973Q2
1973-07-01,2.9296520698037223,1973Q3
1973-10-01,3.020863309352518,1973Q4
1974-01-01,1.2356580026384285,1974Q1
1974-04-01,0.5548685698134539,1974Q2
1974-07-01,-1.3021460579750737,1974Q3
1974-10-01,-2.5720580072162087,1974Q4
1975-01-01,-4.595453451181346,1975Q1
1975-04-01,-4.716595048086761,1975Q2
1975-07-01,-3.875723032168589,1975Q3
1975-10-01,-3.3610388738821873,1975Q4
1976-01-01,-1.95115454409243,1976Q1
1976-04-01,-1.9856432453865087,1976Q2
1976-07-01,-2.1991507361379807,1976Q3
1976-10-01,-2.246705495721212,1976Q4
1977-01-01,-1.877174860389296,1977Q1
1977-04-01,-0.7766962313086355,1977Q2
1977-07-01,0.1860014608275906,1977Q3
1977-10-01,-0.6447894687116177,1977Q4
1978-01-01,-1.1695942042562493,1978Q1
1978-04-01,1.737670416737593,1978Q2
1978-07-01,1.8481134969325157,1978Q3
1978-10-01,2.3147852527556063,1978Q4
1979-01-01,1.6257763038890565,1979Q1
1979-04-01,0.9145322148955576,1979Q2
1979-07-01,0.88731934593584,1979Q3
1979-10-01,0.41696253627778845,1979Q4
1980-01-01,0.09868392159159116,1980Q1
1980-04-01,-2.4806250091013675,1980Q2
