quarter,fed_funds_avg_rate,fed_funds_percent_change_prev_quarter,fed_funds_st_dev_rate
1954Q4,0.9883695652173909,-0.03899809765377257,0.436573262544833
1955Q1,1.344999999999999,0.3608270097877484,0.195931941864252
1955Q2,1.5010989010989002,0.11605866252706411,0.26878926296946437
1955Q3,1.9365217391304341,0.2900693869756194,0.2165180741769467
1955Q4,2.3590217391304344,0.21817467444993288,0.12685597771747478
1956Q1,2.482307692307692,0.05226147395432754,0.1314709678393498
1956Q2,2.6945054945054943,0.08548408517419982,0.12063041569893217
1956Q3,2.808586956521739,0.042338552379601505,0.1951476280949249
1956Q4,2.9298913043478256,0.04319052594914646,0.25454330819672016
1957Q1,2.9330000000000003,0.00106102763865727,0.25072232727313787
1957Q2,3.0,0.02284350494374351,0.0
1957Q3,3.230760869565217,0.07692028985507227,0.25542997016946545
1957Q4,3.2527173913043477,0.006796083840796827,0.26074324561487594
1958Q1,1.8697777777777775,-0.4251643924626381,0.9317447422278071
1958Q2,0.936923076923077,-0.49891206962754375,0.5706890422164971
1958Q3,1.318913043478261,0.4077068608552867,0.5892096709249728
1958Q4,2.1633695652173914,0.640267018295698,0.43775721399447487
1959Q1,2.5769999999999995,0.19119730693865217,0.2366025919487235
1959Q2,3.07967032967033,0.1950602753862361,0.34131917467200573
1959Q3,3.573369565217391,0.1603091184113562,0.2300801445359834
1959Q4,3.9918478260869565,0.11711026615969587,0.04464584318728317
1960Q1,3.931318681318681,-0.015163189431399153,0.29122808469273237
1960Q2,3.6950549450549453,-0.06009783368273924,0.5372282230245945
1960Q3,2.9375,-0.20501858736059483,0.6085753946628234
1960Q4,2.296195652173913,-0.2183163737280296,0.7309197012334653
1961Q1,1.9875555555555555,-0.13441367521367525,0.7536090112403923
1961Q2,1.7335164835164836,-0.1278148282844168,0.8180279452254178
1961Q3,1.6793478260869565,-0.031247846758078984,0.6837257408322
1961Q4,2.3967391304347827,0.4271844660194175,0.5461556126025415
1962Q1,2.4583333333333335,0.025699168556311432,0.5832998920323436
1962Q2,2.607142857142857,0.06053268765133168,0.41690469391639595
1962Q3,2.845108695652174,0.09127456819535432,0.23974113587627596
1962Q4,2.9240217391304335,0.02773638968481333,0.10055953113671881
1963Q1,2.9656666666666665,0.014242345389886743,0.1322752492835817
1963Q2,2.9645054945054943,-0.00039153832567343205,0.17889949839233904
1963Q3,3.3265217391304343,0.12211690796185469,0.3701274944658661
1963Q4,3.451304347826087,0.037511436413540884,0.19860622806710396
1964Q1,3.4643956043956043,0.003793133044833706,0.17601899386908854
1964Q2,3.4879120879120875,0.006788047960413526,0.04517906308399667
1964Q3,3.4565217391304346,-0.00899975343141278,0.2332542582092905
1964Q4,3.5751086956521734,0.034308176100628834,0.4497777096026691
1965Q1,3.9772222222222213,0.1124758883720301,0.2532220581556419
1965Q2,4.079450549450547,0.025703448667549377,0.2267027551533929
1965Q3,4.077499999999998,-0.0004781402365109367,0.33223063946932646
1965Q4,4.170760869565215,0.022872071015381266,0.4008184859406597
1966Q1,4.5589999999999975,0.09308592426572154,0.4060222222290551
1966Q2,4.913736263736262,0.07781010391231957,0.3602056460525112
1966Q3,5.410652173913042,0.10112791641750413,0.6105029530718975
1966Q4,5.559782608695652,0.027562376953674625,0.4049310842488167
1967Q1,4.819444444444445,-0.1331595525143912,0.48143596330824867
1967Q2,3.992307692307692,-0.17162491686987377,0.2086628163812874
1967Q3,3.891847826086956,-0.025163357627544635,0.2728640499872453
1967Q4,4.172826086956521,0.07219662058371726,0.37990839291110656
1968Q1,4.792637362637362,0.14853513248928732,0.3652087231671931
1968Q2,5.984285714285712,0.24864146011510305,0.3399612489588346
1968Q3,5.946521739130433,-0.006310523420552742,0.22403117317727034
1968Q4,5.918152173913042,-0.004770783066461853,0.5250827864561786
1969Q1,6.567444444444442,0.10971199311052732,0.475580215970683
1969Q2,8.332527472527472,0.2687625366326708,1.0379548196189496
1969Q3,8.98108695652174,0.07783466494801036,1.0719238702278544
1969Q4,8.941630434782608,-0.00439329024762192,0.91287166409496
1970Q1,8.55888888888889,-0.04280444698372554,0.9140408424533938
1970Q2,7.883296703296702,-0.07893456666661927,0.528309789054901
1970Q3,6.711086956521737,-0.1486953733816413,0.5585036061385437
1970Q4,5.568260869565216,-0.17028926824527874,0.6879474307408757
1971Q1,3.8627777777777763,-0.30628649262989865,0.5455108476408905
1971Q2,4.567252747252746,0.18237522580971458,0.35829865238083747
1971Q3,5.475543478260868,0.19887025773961595,0.19234449480625743
1971Q4,4.747608695652173,-0.13294292803970223,0.5543125027390111
1972Q1,3.5490109890109873,-0.25246345760105565,0.328484922519047
1972Q2,4.301428571428571,0.2120076789695322,0.21363817505602734
1972Q3,4.74141304347826,0.1022879875240061,0.26795350392849676
1972Q4,5.145543478260869,0.08523417619953708,0.3006380180035241
1973Q1,6.53822222222222,0.2706572687307386,0.6280423977990727
1973Q2,7.818461538461538,0.1958084740356512,0.6497109153341003
1973Q3,10.557717391304351,0.35035739951747913,0.6991330632531834
1973Q4,9.996739130434785,-0.05313442670208285,0.6174355128415576
1974Q1,9.333777777777781,-0.06631776062242502,0.37921734237644156
1974Q2,11.251318681318681,0.20544102818756357,0.7986449757644493
1974Q3,12.098586956521743,0.07530390874181159,0.8313402148308655
1974Q4,9.344347826086954,-0.22764965366059678,0.8989509201332446
1975Q1,6.305333333333333,-0.3252248898815062,0.894418648676963
1975Q2,5.41846153846154,-0.14065422841062478,0.3717762860076027
1975Q3,6.155869565217388,0.13609177097992642,0.210395504975973
